Date,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Paraguay,Peru,Poland,Russia,South Africa,Spain,Sweden,Switzerland,Ukraine,US,Uruguay
2013-04-14,106.0,293.0,774.0,48.0,250.0,218.0,332.0,1458.0,12.0,14.0,632.0,54.0,159.0,992.0,31.0,25.0,53.0,224.0,153.0,36.0,669.0,574.0,2381.0,22.0,5.0,30.0,427.0,1747.0
2013-04-07,103.0,286.0,916.0,78.0,242.0,195.0,334.0,1603.0,13.0,24.0,800.0,62.0,144.0,1054.0,43.0,27.0,50.0,219.0,148.0,51.0,719.0,644.0,2418.0,27.0,10.0,54.0,462.0,2121.0
2013-03-31,94.0,277.0,1034.0,102.0,247.0,185.0,348.0,1754.0,8.0,32.0,916.0,90.0,205.0,1067.0,47.0,21.0,65.0,203.0,136.0,64.0,765.0,733.0,2173.0,32.0,13.0,84.0,507.0,2482.0
2013-03-24,113.0,236.0,1026.0,124.0,195.0,167.0,425.0,1642.0,7.0,32.0,950.0,89.0,280.0,1211.0,48.0,18.0,105.0,196.0,131.0,65.0,795.0,873.0,2242.0,46.0,16.0,89.0,576.0,2673.0
2013-03-17,107.0,275.0,1191.0,147.0,214.0,165.0,549.0,1833.0,7.0,44.0,1104.0,103.0,429.0,1312.0,56.0,18.0,119.0,188.0,121.0,62.0,858.0,998.0,2341.0,66.0,15.0,133.0,619.0,2894.0
2013-03-10,84.0,231.0,1341.0,210.0,187.0,149.0,656.0,1901.0,5.0,73.0,1237.0,166.0,503.0,1529.0,60.0,21.0,157.0,167.0,107.0,63.0,928.0,1209.0,2184.0,80.0,19.0,167.0,679.0,3242.0
2013-03-03,76.0,210.0,1641.0,348.0,167.0,137.0,647.0,2068.0,4.0,193.0,1461.0,254.0,764.0,1605.0,80.0,21.0,149.0,143.0,100.0,59.0,948.0,1389.0,2024.0,168.0,27.0,262.0,670.0,3504.0
2013-02-24,78.0,188.0,2060.0,494.0,148.0,139.0,702.0,2306.0,3.0,443.0,1752.0,365.0,1122.0,1540.0,107.0,19.0,147.0,133.0,98.0,70.0,971.0,1757.0,1913.0,157.0,30.0,400.0,637.0,3784.0
2013-02-17,75.0,181.0,2408.0,753.0,124.0,141.0,732.0,2597.0,3.0,894.0,2023.0,417.0,1381.0,1588.0,141.0,17.0,194.0,129.0,103.0,69.0,968.0,1668.0,1983.0,258.0,42.0,537.0,595.0,4240.0
2013-02-10,77.0,144.0,2297.0,1064.0,103.0,131.0,776.0,2768.0,2.0,1099.0,2063.0,336.0,1659.0,1636.0,172.0,13.0,199.0,135.0,96.0,78.0,880.0,1453.0,2037.0,266.0,67.0,669.0,552.0,4555.0
2013-02-03,78.0,144.0,2141.0,1387.0,106.0,116.0,678.0,3230.0,2.0,1324.0,1876.0,220.0,3057.0,1754.0,174.0,10.0,224.0,145.0,103.0,112.0,821.0,1458.0,1854.0,183.0,73.0,687.0,555.0,5541.0
2013-01-27,69.0,131.0,2063.0,1499.0,110.0,112.0,559.0,3939.0,2.0,1278.0,1641.0,169.0,5273.0,1866.0,270.0,12.0,267.0,147.0,88.0,168.0,778.0,1239.0,1758.0,169.0,71.0,719.0,543.0,7209.0
2013-01-20,71.0,122.0,1598.0,802.0,111.0,107.0,498.0,4778.0,2.0,703.0,1332.0,128.0,3872.0,1669.0,233.0,10.0,321.0,140.0,98.0,268.0,696.0,924.0,1854.0,99.0,28.0,598.0,537.0,9408.0
2013-01-13,72.0,152.0,1286.0,374.0,119.0,106.0,438.0,6803.0,2.0,349.0,1033.0,104.0,2182.0,1591.0,127.0,12.0,470.0,136.0,105.0,413.0,651.0,827.0,1796.0,81.0,25.0,392.0,520.0,10555.0
2013-01-06,70.0,156.0,1175.0,372.0,119.0,109.0,389.0,7698.0,3.0,277.0,1015.0,70.0,1342.0,1576.0,126.0,13.0,270.0,134.0,108.0,330.0,662.0,869.0,1813.0,80.0,17.0,280.0,471.0,10112.0
2012-12-30,77.0,155.0,1118.0,270.0,120.0,108.0,423.0,7496.0,3.0,387.0,1187.0,70.0,479.0,1829.0,134.0,17.0,106.0,127.0,102.0,202.0,651.0,953.0,1976.0,78.0,20.0,209.0,439.0,8618.0
2012-12-23,75.0,158.0,976.0,207.0,116.0,106.0,335.0,6425.0,4.0,292.0,1157.0,60.0,340.0,2050.0,122.0,12.0,49.0,119.0,97.0,151.0,618.0,802.0,2083.0,54.0,10.0,186.0,452.0,7904.0
2012-12-16,76.0,146.0,1014.0,143.0,126.0,106.0,313.0,4934.0,4.0,184.0,1042.0,53.0,218.0,1875.0,81.0,14.0,68.0,120.0,95.0,94.0,592.0,807.0,1877.0,29.0,7.0,95.0,440.0,6359.0
2012-12-09,79.0,137.0,970.0,129.0,137.0,111.0,356.0,4003.0,4.0,117.0,936.0,52.0,146.0,1627.0,58.0,15.0,187.0,134.0,108.0,49.0,591.0,786.0,1848.0,32.0,6.0,56.0,460.0,5132.0
2012-12-02,84.0,144.0,831.0,94.0,162.0,118.0,379.0,3262.0,5.0,79.0,872.0,43.0,98.0,1570.0,45.0,19.0,103.0,141.0,120.0,36.0,608.0,765.0,1996.0,29.0,6.0,49.0,460.0,4427.0
2012-11-25,93.0,154.0,811.0,80.0,172.0,127.0,415.0,2719.0,6.0,54.0,836.0,46.0,88.0,1497.0,44.0,21.0,64.0,151.0,125.0,34.0,616.0,724.0,1944.0,26.0,5.0,35.0,469.0,3641.0
2012-11-18,98.0,169.0,817.0,79.0,178.0,129.0,456.0,2401.0,5.0,44.0,850.0,41.0,70.0,1469.0,41.0,25.0,61.0,153.0,127.0,34.0,625.0,669.0,2018.0,21.0,4.0,50.0,459.0,3040.0
2012-11-11,105.0,205.0,850.0,70.0,177.0,126.0,399.0,2247.0,7.0,44.0,860.0,48.0,59.0,1434.0,37.0,21.0,58.0,141.0,126.0,34.0,641.0,701.0,2072.0,26.0,3.0,42.0,454.0,2913.0
2012-11-04,102.0,198.0,855.0,59.0,172.0,126.0,381.0,2091.0,8.0,39.0,870.0,36.0,51.0,1371.0,36.0,20.0,53.0,132.0,130.0,33.0,659.0,680.0,2284.0,24.0,3.0,37.0,429.0,2492.0
2012-10-28,118.0,227.0,812.0,49.0,177.0,128.0,327.0,2013.0,7.0,43.0,815.0,36.0,39.0,1250.0,34.0,24.0,43.0,141.0,128.0,31.0,642.0,628.0,2211.0,25.0,2.0,45.0,429.0,2349.0
2012-10-21,122.0,221.0,909.0,51.0,177.0,138.0,315.0,1909.0,8.0,38.0,864.0,40.0,27.0,1180.0,34.0,30.0,47.0,149.0,136.0,30.0,674.0,599.0,2138.0,23.0,3.0,40.0,454.0,2369.0
2012-10-14,132.0,267.0,916.0,59.0,204.0,152.0,268.0,1946.0,11.0,40.0,923.0,38.0,20.0,1135.0,41.0,35.0,64.0,157.0,129.0,35.0,690.0,676.0,2381.0,35.0,3.0,39.0,453.0,2391.0
2012-10-07,141.0,301.0,926.0,70.0,183.0,134.0,242.0,1861.0,8.0,43.0,914.0,43.0,15.0,1112.0,43.0,40.0,57.0,153.0,134.0,39.0,649.0,676.0,2512.0,43.0,3.0,39.0,472.0,2325.0
2012-09-30,147.0,320.0,895.0,77.0,193.0,150.0,238.0,1789.0,7.0,49.0,743.0,48.0,12.0,1085.0,44.0,42.0,73.0,157.0,133.0,40.0,622.0,719.0,2568.0,34.0,2.0,46.0,463.0,2018.0
2012-09-23,161.0,361.0,830.0,66.0,175.0,151.0,188.0,1699.0,11.0,36.0,718.0,57.0,10.0,1012.0,44.0,57.0,73.0,166.0,141.0,28.0,571.0,773.0,2701.0,21.0,3.0,38.0,519.0,1895.0
2012-09-16,164.0,495.0,684.0,43.0,202.0,150.0,149.0,1393.0,11.0,18.0,627.0,52.0,9.0,1053.0,35.0,65.0,60.0,189.0,147.0,13.0,538.0,770.0,2728.0,18.0,3.0,39.0,568.0,1737.0
2012-09-09,175.0,644.0,517.0,26.0,267.0,160.0,140.0,1047.0,14.0,7.0,508.0,32.0,10.0,994.0,28.0,64.0,75.0,209.0,147.0,8.0,514.0,657.0,2940.0,14.0,3.0,36.0,512.0,1543.0
2012-09-02,166.0,823.0,501.0,17.0,221.0,154.0,140.0,884.0,13.0,4.0,437.0,24.0,8.0,978.0,23.0,95.0,53.0,212.0,156.0,7.0,522.0,449.0,3032.0,12.0,4.0,29.0,399.0,1374.0
2012-08-26,168.0,1191.0,455.0,10.0,245.0,158.0,140.0,819.0,13.0,3.0,358.0,25.0,6.0,858.0,18.0,101.0,32.0,226.0,144.0,7.0,534.0,333.0,3437.0,13.0,2.0,19.0,329.0,1199.0
2012-08-19,159.0,1270.0,433.0,10.0,232.0,166.0,133.0,726.0,12.0,2.0,301.0,25.0,5.0,749.0,14.0,105.0,25.0,215.0,142.0,7.0,527.0,280.0,3890.0,13.0,1.0,15.0,295.0,1095.0
2012-08-12,147.0,1389.0,427.0,11.0,225.0,160.0,118.0,684.0,14.0,2.0,319.0,24.0,5.0,750.0,14.0,110.0,21.0,225.0,139.0,8.0,521.0,226.0,4232.0,12.0,1.0,15.0,257.0,977.0
2012-08-05,144.0,1383.0,426.0,13.0,178.0,157.0,111.0,653.0,13.0,2.0,330.0,24.0,6.0,756.0,14.0,130.0,19.0,246.0,134.0,8.0,517.0,214.0,3858.0,11.0,1.0,12.0,231.0,889.0
2012-07-29,148.0,1300.0,430.0,12.0,195.0,160.0,117.0,583.0,13.0,2.0,328.0,25.0,8.0,779.0,18.0,148.0,18.0,257.0,135.0,9.0,529.0,210.0,3611.0,10.0,1.0,13.0,223.0,869.0
2012-07-22,157.0,1395.0,443.0,12.0,186.0,176.0,117.0,619.0,15.0,3.0,347.0,28.0,9.0,773.0,18.0,136.0,17.0,283.0,140.0,9.0,533.0,220.0,3429.0,9.0,1.0,11.0,217.0,869.0
2012-07-15,152.0,1571.0,487.0,15.0,203.0,176.0,127.0,679.0,26.0,4.0,386.0,27.0,7.0,771.0,23.0,132.0,19.0,311.0,150.0,10.0,506.0,189.0,3191.0,9.0,1.0,16.0,187.0,897.0
